listing_id,title_en,title_ur,category,tags,price,city,listing_type,price_band,currency,is_active,popularity_count,vendor_id,stock_status,description_en
21,Elegant Satin Kimono,,Clothing,"['boho style', 'dress', 'elegant outerwear', 'fashion', 'fashion layering', 'outfit', 'pakistani', 'satin kimono', ""women's fashion""]",7000.0,Faisalabad,product,mid,PKR,True,12,42,in_stock,"Elevate your wardrobe with this stunning satin kimono. Its luxurious fabric drapes beautifully, offering both comfort and style. Perfect for layering over any outfit, this piece effortlessly transitions from day to night."
22,Chic Striped Pajama Set,,Clothing,"['comfortable', 'comfortable sleepwear', 'fashion', 'loungewear', 'outfit', 'pajama set', 'pakistani', 'striped pajamas', ""women's nightwear""]",5000.0,Karachi,product,mid,PKR,True,52,42,in_stock,"Elevate your loungewear with our Chic Striped Pajama Set, combining comfort and style for the perfect night in or lazy weekend. Made from soft, breathable fabric, this set features a button-up top with a classic collar and matching pants, ensuring you look effortlessly put-together during your downtime."
23,Elegant Embroidered Suit,,Clothing,"['anarkali suit', 'embroidered', 'embroidered dress', 'fashion', 'festive outfit', 'outfit', 'pakistani', 'traditional wear']",6500.0,Lahore,product,mid,PKR,True,20,42,in_stock,"Step into sophistication with our Elegant Embroidered Anarkali Suit, perfect for festive occasions and formal gatherings. Crafted with intricate embroidery and adorned with delicate floral patterns, this outfit exudes grace and charm."
24,Aeris Hoops,,Jewelry,"['accessory', 'fashion jewelry', 'gold earrings', 'hoop earrings', 'jewelry', 'traditional', ""women's earrings""]",1200.0,Karachi,product,mid,PKR,True,13,43,in_stock,"Elevate your accessory game with these elegantly crafted gold hoop earrings. Their timeless design and lustrous finish make them the perfect addition to any outfit, whether you're dressing up for a special occasion or adding a touch of sophistication to your everyday look."
25,Sparkling Initial Pendant Necklace,,Jewelry,"['accessory', 'glitter necklace', 'initial necklace', 'jewelry', 'personalized jewelry', 'statement piece', 'traditional']",1000.0,Multan,product,low,PKR,True,11,43,in_stock,"Elevate your accessory game with our stunning initial pendant necklace. This piece features a bold, glittering letter design, perfect for personal expression and a touch of glam."
26,Infinity Symbol Bracelet,,Jewelry,"['accessory', 'fashion jewelry', 'friendship jewelry', 'infinity bracelet', 'jewelry', 'meaningful gift', 'traditional']",1000.0,Faisalabad,product,low,PKR,True,52,43,in_stock,"Elevate your accessory game with this stunning Infinity Symbol Bracelet. Crafted with delicate chains and elegant infinity charms, it symbolizes eternal love and friendship, making it a meaningful addition to any jewelry collection."
27,Elegant Modern Ring,,Jewelry,"['accessory', 'elegant jewelry', 'jewelry', 'modern ring', 'statement piece', 'traditional', 'unique design']",1300.0,Islamabad,product,mid,PKR,True,10,43,in_stock,"Discover the perfect blend of contemporary design and timeless elegance with our Elegant Modern Ring. Crafted to showcase unique swirls and gleaming finishes, this piece is a statement of sophistication that will elevate any outfit."
30,Classic Black Leather Handbag,کلاسک سیاہ لیدر ہینڈ بیگ,Accessories,"['accessory', 'bag', 'black', 'fashion', 'formal', 'handbag', 'leather', 'office', 'premium']",8500.0,Islamabad,product,high,PKR,True,32,47,in_stock,Premium black leather handbag with spacious interior and gold-tone hardware. Perfect for office and formal outings.
31,Elegant Brown Tote Bag,خوبصورت براؤن ٹوٹ بیگ,Accessories,"['accessory', 'bag', 'brown', 'casual', 'daily-use', 'fashion', 'tote']",7200.0,Karachi,product,high,PKR,True,6,47,in_stock,Large capacity brown tote bag designed for daily use. Durable material with inner zipper compartments.
32,Stylish Beige Crossbody Bag,اسٹائلش بیج کراس باڈی بیگ,Accessories,"['accessory', 'bag', 'beige', 'casual', 'compact', 'crossbody', 'fashion']",4800.0,Karachi,product,mid,PKR,True,18,47,in_stock,Compact crossbody bag with adjustable strap. Lightweight and perfect for casual outings.
33,Luxury Maroon Shoulder Bag,لگژری مارون شولڈر بیگ,Accessories,"['accessory', 'bag', 'fashion', 'formal', 'luxury', 'maroon', 'shoulder-bag']",9200.0,Karachi,product,high,PKR,True,37,47,in_stock,Premium maroon shoulder bag with elegant finish. Ideal for formal dinners and events.
34,Chic White Mini Bag,خوبصورت سفید منی بیگ,Accessories,"['accessory', 'bag', 'fashion', 'mini', 'party', 'trendy', 'white']",3900.0,Islamabad,product,mid,PKR,True,6,47,in_stock,Trendy white mini bag with sleek design. Perfect for parties and evening outings.
35,Premium Grey Office Bag,پریمیم گرے آفس بیگ,Accessories,"['accessory', 'bag', 'fashion', 'grey', 'office', 'professional', 'structured']",10500.0,Islamabad,product,high,PKR,True,17,47,in_stock,Structured grey office bag with multiple compartments for laptop and essentials.
36,Trendy Pink Handbag,ٹرینڈی پنک ہینڈ بیگ,Accessories,"['accessory', 'bag', 'fashion', 'handbag', 'pink', 'trendy']",5600.0,Multan,product,mid,PKR,True,46,47,in_stock,Bright pink handbag with modern style. Adds a pop of color to any outfit.
37,Classic Navy Blue Tote,کلاسک نیوی بلیو ٹوٹ,Accessories,"['accessory', 'bag', 'durable', 'fashion', 'navy', 'tote', 'travel']",6800.0,Multan,product,mid,PKR,True,39,47,in_stock,Elegant navy blue tote bag with durable straps. Ideal for shopping and travel.
38,Luxury Tan Leather Bag,لگژری ٹین لیدر بیگ,Accessories,"['accessory', 'bag', 'fashion', 'leather', 'luxury', 'premium', 'tan']",11500.0,Lahore,product,high,PKR,True,19,47,in_stock,High-quality tan leather bag with premium stitching and spacious interior.
39,Elegant Black Clutch,خوبصورت سیاہ کلچ,Accessories,"['accessory', 'bag', 'black', 'clutch', 'fashion', 'formal', 'wedding']",3500.0,Lahore,product,mid,PKR,True,42,47,in_stock,Minimal black clutch with metallic finish. Perfect for formal events and weddings.
40,Classic White Cotton Shalwar Kameez,کلاسک سفید کاٹن شلوار قمیض,Clothing,"['classic', 'cotton', 'fashion', 'outfit', 'pakistani', 'shalwar-kameez', 'summer', 'traditional', 'white']",4500.0,Lahore,product,mid,PKR,True,56,48,in_stock,Premium breathable cotton white shalwar kameez perfect for summer and Jummah prayers.
41,Black Embroidered Formal Shalwar Kameez,سیاہ کڑھائی والا رسمی شلوار قمیض,Clothing,"['black', 'embroidered', 'fashion', 'formal', 'outfit', 'pakistani', 'shalwar-kameez', 'traditional']",7800.0,Karachi,product,high,PKR,True,53,48,in_stock,Elegant black formal wear with subtle embroidery on collar and cuffs.
42,Navy Blue Wash & Wear Suit,نیوی بلیو واش اینڈ ویئر سوٹ,Clothing,"['daily', 'fashion', 'navy', 'office', 'outfit', 'pakistani']",5200.0,Karachi,product,mid,PKR,True,49,48,in_stock,Wrinkle-resistant navy blue wash & wear fabric ideal for daily office use.
43,Beige Eid Special Shalwar Kameez,بیج عید اسپیشل شلوار قمیض,Clothing,"['beige', 'eid', 'fashion', 'festive', 'outfit', 'pakistani', 'shalwar-kameez', 'traditional']",8500.0,Lahore,product,high,PKR,True,26,48,in_stock,Festive beige outfit with detailed thread embroidery. Perfect for Eid gatherings.
44,Grey Casual Shalwar Kameez,گرے کیژول شلوار قمیض,Clothing,"['casual', 'fashion', 'grey', 'outfit', 'pakistani', 'shalwar-kameez', 'traditional']",4800.0,Lahore,product,mid,PKR,True,14,48,in_stock,Soft grey casual wear made from lightweight fabric for all-day comfort.
45,Olive Green Premium Suit,اولیو گرین پریمیم سوٹ,Clothing,"['fashion', 'olive', 'outfit', 'pakistani', 'premium']",6900.0,Karachi,product,mid,PKR,True,53,48,in_stock,Premium olive green fabric with modern slim fit design.
46,Maroon Wedding Wear Shalwar Kameez,مارون ویڈنگ وئیر شلوار قمیض,Bridal & Wedding,"['bridal', 'formal', 'maroon', 'shalwar-kameez', 'traditional', 'wedding']",12000.0,Lahore,product,high,PKR,True,11,48,in_stock,Luxury maroon outfit for weddings with intricate embroidery.
47,Sky Blue Summer Suit,اسکائی بلیو سمر سوٹ,Clothing,"['cotton', 'fashion', 'outfit', 'pakistani', 'sky-blue', 'summer']",4300.0,Karachi,product,mid,PKR,True,29,48,in_stock,Lightweight sky blue cotton suit ideal for hot weather.
48,Cream Designer Shalwar Kameez,کریم ڈیزائنر شلوار قمیض,Clothing,"['cream', 'designer', 'fashion', 'outfit', 'pakistani', 'shalwar-kameez', 'traditional']",9500.0,Karachi,product,high,PKR,True,27,48,in_stock,Elegant cream designer suit with detailed neckline work.
49,Dark Brown Winter Suit,ڈارک براؤن ونٹر سوٹ,Clothing,"['brown', 'fashion', 'outfit', 'pakistani', 'warm', 'winter']",7800.0,Lahore,product,high,PKR,True,43,48,in_stock,Warm fabric winter collection shalwar kameez for cold season.
70,Full Bridal Makeup Package,مکمل برائیڈل میک اپ پیکیج,Makeup & Beauty Services,"['airbrush', 'beauty', 'bridal', 'karachi', 'makeup', 'professional', 'service', 'wedding']",25000.0,Lahore,service,high,PKR,True,56,55,in_stock,"Includes airbrush foundation, eye makeup, contouring, setting spray, and full bridal look. On-location service available."
71,Hairstyling & Blow Dry,ہیئر اسٹائلنگ اور بلو ڈرائی,Hair & Salon Services,"['blowdry', 'event', 'hair', 'hairstyling', 'salon', 'service', 'styling', 'updo']",5000.0,Karachi,service,mid,PKR,True,51,55,in_stock,"Professional hairstyling including blow dry, curls, updos, and braids. Perfect for weddings and events."
72,Mehndi / Henna Application,مہندی لگانا,Mehndi Services,"['bridal', 'henna', 'karachi', 'mehndi']",8000.0,Lahore,service,high,PKR,True,39,55,in_stock,Traditional and modern bridal mehndi designs. Full hands and feet. Natural henna used for deep color.
73,Wedding Photography (Full Day),شادی کی فوٹوگرافی (پورا دن),Photography,"['bridal', 'event', 'fullday', 'lahore', 'photography', 'professional', 'wedding']",75000.0,Karachi,service,high,PKR,True,29,56,in_stock,"Full day wedding coverage — baraat, nikah, walima. 600+ edited photos delivered in 2 weeks. Online gallery included."
74,Cinematic Wedding Videography,سنیماٹک ویڈیوگرافی,Photography,"['bridal', 'cinematic', 'drone', 'event', 'photography', 'professional', 'videography', 'wedding']",90000.0,Karachi,service,high,PKR,True,40,56,in_stock,Drone + ground cinematic wedding film. 5–8 minute highlight reel + full ceremony footage. Color graded and edited.
75,Pre-Wedding Photo Shoot,پری ویڈنگ فوٹو شوٹ,Photography,"['bridal', 'couple', 'event', 'outdoor', 'photography', 'prewedding', 'professional', 'shoot', 'wedding']",20000.0,Lahore,service,high,PKR,True,58,56,in_stock,2-hour outdoor couple shoot. 80+ edited photos. Multiple outfit changes. Studio or on-location in Lahore.
76,Handblock Printed Kurta,ہینڈ بلاک پرنٹڈ کرتا,Clothing,"['handblock', 'printed', 'kurta', 'cotton']",2400,Multan,product,mid,PKR,True,52,10,low_stock,"Handblock Printed Kurta — Clothing listing featuring handblock, printed, kurta, cotton. Available in Multan, Pakistan. Price: PKR 2400."
77,Lapis Lazuli Earrings,لاپیس لازولی بالیاں,Jewelry,"['earrings', 'lapis-lazuli', 'gemstone', 'handmade']",3500,Islamabad,product,mid,PKR,True,1,13,in_stock,"Lapis Lazuli Earrings — Jewelry listing featuring earrings, lapis-lazuli, gemstone, handmade. Available in Islamabad, Pakistan. Price: PKR 3500."
78,Hair Spa Service at Home,ہیئر سپا سروس گھر پر,Hair & Salon Services,"['hair-spa', 'at-home', 'service', 'nourishing']",2500,Karachi,service,mid,PKR,True,59,19,in_stock,"Hair Spa Service at Home — Hair & Salon Services listing featuring hair-spa, at-home, service, nourishing. Available in Karachi, Pakistan. Price: PKR 2500."
79,Facials Brightening Package,فیشل برائٹننگ پیکیج,Makeup & Beauty Services,"['facial', 'brightening', 'package', 'skincare']",3000,Lahore,service,mid,PKR,True,70,7,in_stock,"Facials Brightening Package — Makeup & Beauty Services listing featuring facial, brightening, package, skincare. Available in Lahore, Pakistan. Price: PKR 3000."
80,Mehndi Feet Full Design,مہندی پاؤں فل ڈیزائن,Mehndi Services,"['mehndi', 'feet', 'full-design', 'henna']",1200,Karachi,service,low,PKR,True,43,17,in_stock,"Mehndi Feet Full Design — Mehndi Services listing featuring mehndi, feet, full-design, henna. Available in Karachi, Pakistan. Price: PKR 1200."
81,Velvet Lehenga Festive,ویلوٹ لہنگہ تہوار,Bridal & Wedding,"['lehenga', 'velvet', 'festive', 'wedding']",22000,Lahore,product,high,PKR,True,7,4,in_stock,"Velvet Lehenga Festive — Bridal & Wedding listing featuring lehenga, velvet, festive, wedding. Available in Lahore, Pakistan. Price: PKR 22000."
